,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
856,273,0,0,0,159,0
857,274,1,0,2,124,1
858,275,0,0,1,144,1
859,272,3,0,0,209,-3
860,272,0,0,0,168,0
861,272,0,0,0,149,0
862,272,0,0,0,214,0
863,271,0,1,0,145,-1
864,272,0,0,1,172,1
865,272,0,0,0,167,0
866,273,0,0,1,153,1
867,272,0,1,0,180,-1
868,271,1,0,0,203,-1
869,271,1,1,2,167,0
870,270,0,1,0,113,-1
871,269,0,1,0,216,-1
872,270,0,0,1,201,1
873,270,0,1,1,138,0
874,269,0,1,0,173,-1
875,270,0,0,1,170,1
876,271,0,0,1,131,1
877,271,0,0,0,142,0
878,271,0,0,0,140,0
879,270,1,1,1,184,-1
880,272,0,0,2,205,2
881,273,0,0,1,149,1
882,275,0,0,2,164,2
883,275,0,0,0,129,0
884,276,0,0,1,195,1
885,277,0,0,1,150,1
886,277,0,0,0,162,0
887,278,0,0,1,225,1
888,280,0,0,2,160,2
889,280,1,0,1,164,0
890,280,0,0,0,121,0
891,280,0,0,0,231,0
892,279,1,0,0,179,-1
893,281,0,0,2,154,2
894,281,0,0,0,116,0
895,282,0,0,1,152,1
896,282,0,0,0,201,0
897,282,0,0,0,206,0
898,281,1,0,0,154,-1
899,284,0,0,3,173,3
900,284,0,0,0,137,0
901,283,0,1,0,182,-1
902,283,0,0,0,209,0
903,282,1,0,0,167,-1
904,282,0,0,0,168,0
905,280,1,1,0,225,-2
906,279,0,1,0,167,-1
907,279,0,0,0,153,0
908,281,0,0,2,177,2
909,281,0,0,0,149,0
910,282,0,0,1,166,1
911,282,0,0,0,162,0
912,283,0,0,1,186,1
913,283,0,0,0,144,0
914,283,0,0,0,138,0
915,283,0,0,0,217,0
916,283,0,0,0,172,0
917,281,2,0,0,174,-2
918,283,0,0,2,134,2
919,287,0,0,4,187,4
920,286,1,0,0,139,-1
921,289,0,0,3,226,3
922,290,0,0,1,184,1
923,290,0,0,0,165,0
924,291,0,0,1,223,1
925,293,0,0,2,206,2
926,292,0,1,0,160,-1
